"","urbanicity","qtr","total_population"
"1","rural",1,251
"2","rural",2,228
"3","rural",3,172
"4","rural",4,226
"5","urban",1,1371
"6","urban",2,1030
"7","urban",3,988
"8","urban",4,1998
"9","metro",1,10076
"10","metro",2,7197
"11","metro",3,6036
"12","metro",4,7366
